nivel,entidad,programa,subprograma,anho,monto,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,4- LA COORDINACIÓN INTERINSTITUCIONAL ADMINISTRATIVA Y FINANCIERA A LOS PROGRAMAS Y PROYECTOS EJECUTADOS POR LA SAS.,1- *,2014,217252518554,,
11-PODER LEGISLATIVO,03-CÁMARA DE DIPUTADOS,"1- -TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
-CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN ESPERADA.",0- *,2014,217099199213,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,0- *,2015,216925480434,,
11-PODER LEGISLATIVO,03-CÁMARA DE DIPUTADOS,"1- -TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
-CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN ESPERADA.",0- *,2013,216076577062,,
12-PODER EJECUTIVO,04-MINISTERIO DE RELACIONES EXTERIORES,"3- - NEGOCIACIONES INTERNACIONALES Y REGIONALES EFECTUADAS.
- COOPERACIONES INTERNACIONALES CONCRETADAS.
- COORDINACIÓN DE POLÍTICAS NEGOCIADAS E IMPLEMENTADAS.
- PROMOCIÓN DE LOS PRODUCTOS NACIONALES EN EL EXTERIOR REALIZADAS.
- PROMOCIÓN DE LOS ATRACTIVO (...)",0- *,2012,216056542090,,
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,4- PAGO OPORTUNO DE LA DEUDA,0- *,2015,215530450071,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,"1- EXCEDENTES FINANCIEROS SON COLOCADOS EN CONDICIONES FAVORABLES DE SEGURIDAD, TRANSPARENCIA Y RENTABILIDAD.
RECAUDACIONES PROVENIENTES DE APORTES OBRERO PATRONAL QUE AUMENTAN EN PROMEDIO ANUAL POR ENCIMA DEL 10%.
RENTABILIDAD DE LOS ACTIVOS FINANCIEROS Y (...)",0- *,2014,215450187624,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","22- REALIZAR ACCIONES TENDIENTES A MEJORAR LA CALIDAD DE VIDA DE LOS HABITANTES, A TRAVEZ DE LA ASISTENCIA MEDICA INTEGRAL EN LOS TERRITORIOS ASIGNADOS",2013,211785128885,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,1- *,0- *,2013,211558671100,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,"1- EXCEDENTES FINANCIEROS SON COLOCADOS EN CONDICIONES FAVORABLES DE SEGURIDAD, TRANSPARENCIA Y RENTABILIDAD.
RECAUDACIONES PROVENIENTES DE APORTES OBRERO PATRONAL QUE AUMENTAN EN PROMEDIO ANUAL POR ENCIMA DEL 10%.
RENTABILIDAD DE LOS ACTIVOS FINANCIEROS Y (...)",0- *,2013,211506171466,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,3- 57.050 BENEFICIARIOS RECIBEN SUS JUBILACIONES Y PENSIONES.,"0- SE REQUIERE EL FORTALECIMIENTO DE SISTEMAS QUE PROPICIEN EL MEJORAMIENTO, LA AGILIZACIÓN Y EL CONTROL DE LOS PROCESOS DE ADMINISTRACIÓN FINANCIERA.",2016,210496332022,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,3- *,6- ATENCIÓN ESPECIALIZADA EN INTERNACIÓN Y ASISTENCIA EN  SALUD PARA LA POBLACIÓN NECESITADA DE ESPECIALIDADES GENERALES EN FORMA EFICIENTE.,2014,209587628899,,
12-PODER EJECUTIVO,04-MINISTERIO DE RELACIONES EXTERIORES,"3- - NEGOCIACIONES INTERNACIONALES Y REGIONALES EFECTUADAS.
- COOPERACIONES INTERNACIONALES CONCRETADAS.
- COORDINACIÓN DE POLÍTICAS NEGOCIADAS E IMPLEMENTADAS.
- PROMOCIÓN DE LOS PRODUCTOS NACIONALES EN EL EXTERIOR REALIZADAS.
- PROMOCIÓN DE LOS ATRACTIVO (...)",0- *,2013,208575343848,,
27-ENTIDADES FINANCIERAS OFICIALES,07-AGENCIA FINANCIERA DE DESARROLLO,4- PAGO OPORTUNO DE LA DEUDA,0- *,2014,208252117510,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,8-  FORMACION DE PERSONAS JOVENES Y ADULTAS,2015,207519443918,,
27-ENTIDADES FINANCIERAS OFICIALES,03-CRÉDITO AGRÍCOLA DE HABILITACIÓN,1- EFICIENTE ASIGNACIÓN DE LOS RECURSOS ADMINISTRATIVOS DE LA INSTITUCIÓN.,0- *,2012,207435495117,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"6- DENTRO DE ESTE SUBPROGRAMA SE ENCUENTRAN CONTEMPLADOS LOS DISTINTOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y CONSERVACION DE CAMINOS VECINALES Y RURALES EN LA REGIÓN ORIENTAL DEL PAÍS, EJECUTADOS A TRAVÉS DE LA DIRECCION DE CAMINOS VECINALES DE ESTE  (...)",2015,207370953554,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,"1- - REDUCCIÓN DEL TIEMPO DE GESTIÓN Y TRAMITES ADMINISTRATIVOS.
- REDUCCIÓN DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN.
- SUMINISTRAR BIENES DE CONSUMO Y MUEBLES (...)",0- *,2014,206427639551,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,3- *,6- ATENCIÓN ESPECIALIZADA EN INTERNACIÓN Y ASISTENCIA EN  SALUD PARA LA POBLACIÓN NECESITADA DE ESPECIALIDADES GENERALES EN FORMA EFICIENTE.,2013,205857399420,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"3- -ATENCIÓN MÉDICA BRINDADA A LA COMUNIDAD
-ACTIVIDADES DE EXTENSIÓN UNIVERSITARIA REALIZADAS
-CAMPO DE PRÁCTICAS HOSPITALARIAS PARA LAS ACTIVIDADES DOCENTES, ASISTENCIALES Y DE INVESTIGACIÓN PROVEÍDOS",1- *,2014,204259441258,,
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,7- *,0- *,2011,203827480069,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,15-DIRECCION NACIONAL DE ADUANAS,"1- -RECURSOS FINANCIEROS PROVEIDOS 
-PROCESOS ADMINISTRATIVOS OPTIMIZADOS CON MIRAS A OBTENER CERTIFICACIÓN DE CALIDAD INTERNACIONAL.",0- *,2011,200962756228,,
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1-   SUB/PRY/PROD          DEN. DEL PROD.    CANTIDAD   UNID. DE MEDIDA
EXPL. Y ELAB DE CLINKER CLINKER           515.000         TON/AÑO
MOLIENDA DE CEMENTO     CEMENTO PORTLAND  598.449         TON/AÑO
MOLIENDA DE CAL AGRICOLA         70.000 TON/AÑO
","1- ESTE PROGRAMA TIENE POR OBJETO, PREVER LOS MEDIOS ECONOMICOS QUE DEMANDAN LAS ACTIVIDADES PARA LA EXPLOTACION DE LAS MATERIAS PRIMAS Y PROCESAMIENTO PARA LA ELABORACION DE CLINKER.
SE RESALTA LAS SIGUIENTES ETAPAS DE PROCESO:
1. OPERATIVA: INHERENTES A  (...)",2011,199553741643,,
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1-   SUB/PRY/PROD          DEN. DEL PROD.    CANTIDAD   UNID. DE MEDIDA
EXPL. Y ELAB DE CLINKER CLINKER           600.000         TON/AÑO
MOLIENDA DE CEMENTO     CEMENTO PORTLAND  795.200         TON/AÑO
MOLIENDA DE CAL AGRICOLA         24.000 TON/AÑO
","2- PRODUCCIÓN DE 709,175 TONELADAS DE CEMENTO, DE LOS CUALES 314.980,49 TONELADAS CORRESPONDEN AL TIPO CP II C-32, 309.980,49 TONELADAS AL TIPO CP IV -32 (PUZOLÁNICO), 27.217,80 TONELADAS AL TIPO CAB-45 Y 85.797,00 TONELADAS AL TIPO CP II F-32 EN BASE A LA (...)",2015,198992948365,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"21- EL OBJETIVO DEL PROGRAMA ES REDUCIR LOS COSTOS DE TRANSPORTE EN LOS CORREDORES DE INTEGRACIÓN NACIONAL E INTERNACIONAL, A LA VEZ SE CONSERVA EL PATRIMONIO VIAL DEL PAÍS. EL PROGRAMA MEJORARÁ LAS CONDICIONES DE TRANSITABILIDAD Y LOS NIVELES DE ACCESIBIL (...)",2011,197537727740,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- - ESTRATEGIAS DE LA POLÍTICA DE SALUD APROBADAS Y REGLAMENTADAS.
- EJECUCIÓN DE LAS LÍNEAS DE ACCIÓN EN SALUD IMPULSADAS.
- DESARROLLO Y ADMINISTRACIÓN DE LOS RECURSOS HUMANOS EN SALUD REALIZADOS
- IMPACTO DE LA IMPLEMENTACIÓN DE LA POLÍTICA NACIONAL DE (...)",0- LA ADMINISTRACION GENERAL ES LA ENCARGADA DEL GERENCIAMIENTO DE LOS SERVICIOS OPERATIVOS QUE OFRECE EL M. S. P. Y B. S. ADMINISTRA LOS RECURSOS HUMANOS Y FINANCIEROS NECESARIOS PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES DESTINADAS A LA SUPERVISION DE LA AD (...),2012,197533953768,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"14- PAV. ASF. S/ EMPEDRADOS, RECAPADO, Y PAV. PETREA DE VARIOS TRAMOS MEDIANTE LA UTILIZACION DE LOS FONDOS ESTRUCTURALES DEL MERCOSUR A OBJETO DE REDUCIR COSTOS DE TRANSPORTES Y MEJORAR LA COMPETITIVIDAD ESTIMULANDO LA PRODUCCION DE BIENES EXPORTABLES O D (...)",2013,195012185916,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,"1-   LA EDUCACIÓN INICIAL EN PARAGUAY DESDE EL AÑO 2001, VIENE DESARROLLANDO SISTEMÁTICAMENTE ACCIONES QUE PROMUEVAN EL AUMENTO DE LA COBERTURA CON ATENCIÓN INTEGRAL A LOS NIÑOS Y NIÑAS DEL PREESCOLAR Y OFRECER GRADUALMENTE LA OFERTA EDUCATIVA PARA LOS NIÑ (...)",2016,194829500610,,
13-PODER JUDICIAL,06-MINISTERIO DE LA DEFENSA PUBLICA,1- *,0- *,2014,193141388481,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"6- - REDUCCION DEL TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS.
- REDUCCION DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISION DE LA INFORMACION ESPERADAS.",0- *,2015,191520172788,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","22- REALIZAR ACCIONES TENDIENTES A MEJORAR LA CALIDAD DE VIDA DE LOS HABITANTES, A TRAVEZ DE LA ASISTENCIA MEDICA INTEGRAL EN LOS TERRITORIOS ASIGNADOS",2012,191255136783,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"3- -ATENCIÓN MÉDICA BRINDADA A LA COMUNIDAD
-ACTIVIDADES DE EXTENSIÓN UNIVERSITARIA REALIZADAS
-CAMPO DE PRÁCTICAS HOSPITALARIAS PARA LAS ACTIVIDADES DOCENTES, ASISTENCIALES Y DE INVESTIGACIÓN PROVEÍDOS",1- *,2013,190169671408,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"2- DENTRO DE ESTE SUBPROGRAMA SE INCLUYEN TODOS LOS PROYECTOS DE CONSTRUCCION, REHABILITACION Y MEJORAMIENTO DE CAMINOS PAVIMENTADOS DE LA RED VIAL NACIONAL, A CARGO DE LA DIRECCION DE VIALIDAD.",2012,188943934602,,
12-PODER EJECUTIVO,04-MINISTERIO DE RELACIONES EXTERIORES,"3- - NEGOCIACIONES INTERNACIONALES Y REGIONALES EFECTUADAS.
- COOPERACIONES INTERNACIONALES CONCRETADAS.
- COORDINACIÓN DE POLÍTICAS NEGOCIADAS E IMPLEMENTADAS.
- PROMOCIÓN DE LOS PRODUCTOS NACIONALES EN EL EXTERIOR REALIZADAS.
- PROMOCIÓN DE LOS ATRACTIVO (...)",0- *,2011,187970171261,,
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,"1- - REALIZACIÓN Y PRESENTACIÓN DEL ANTEPROYECTO DE PRESUPUESTO EN TIEMPO Y FORMA
- GESTIONES ADMINISTRATIVAS INTERNAS Y EXTERNAS REALIZADAS CON EFICIENCIA
- TRÁMITES ADMINISTRATIVOS SIMPLIFICADOS Y AGILIZADOS
- RECURSOS HUMANOS CAPACITADOS SEGÚN RECURSOS  (...)",0- *,2013,187501528440,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"14- PAV. ASF. S/ EMPEDRADOS, RECAPADO, Y PAV. PETREA DE VARIOS TRAMOS MEDIANTE LA UTILIZACION DE LOS FONDOS ESTRUCTURALES DEL MERCOSUR A OBJETO DE REDUCIR COSTOS DE TRANSPORTES Y MEJORAR LA COMPETITIVIDAD ESTIMULANDO LA PRODUCCION DE BIENES EXPORTABLES O D (...)",2011,187372388231,,
11-PODER LEGISLATIVO,03-CÁMARA DE DIPUTADOS,"1- -TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
-CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN ESPERADA.",0- *,2012,187120473850,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","1- APS MEDICINA FAMILIAR SE MATERIALIZA EN LAS COMUNIDADES A TRAVES DE LAS UNIDADES DE SALUD DE LA FAMILIA (USF), QUE ACTUAN COMO UNA PUERTA DE ENTRADA AL SISTEMA DE SALUD, JERARQUIZANDO Y ORDENANDO LA ATENCION DE MANERA A OBTENER UNA MAYOR RACIONALIZACION (...)",2015,184918575239,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,1- *,0- *,2012,183418508887,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,2- *,0- *,2016,181184726302,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,01-INSTITUTO DE PREVISIÓN SOCIAL,"1- EXCEDENTES FINANCIEROS SON COLOCADOS EN CONDICIONES FAVORABLES DE SEGURIDAD, TRANSPARENCIA Y RENTABILIDAD.
RECAUDACIONES PROVENIENTES DE APORTES OBRERO PATRONAL QUE AUMENTAN EN PROMEDIO ANUAL POR ENCIMA DEL 10%.
RENTABILIDAD DE LOS ACTIVOS FINANCIEROS Y (...)",0- *,2012,181135728901,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,04-CAJA DE JUBILACIONES Y PENSIONES DE EMPL. DE BANCOS Y AFINES,1- *,0- *,2011,180787003256,,
13-PODER JUDICIAL,02-JUSTICIA ELECTORAL,2- INSCRIPCION DE 40.000 CIUDADANOS.,0- *,2014,180308146415,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- - ESTRATEGIAS DE LA POLÍTICA DE SALUD APROBADAS Y REGLAMENTADAS.
- EJECUCIÓN DE LAS LÍNEAS DE ACCIÓN EN SALUD IMPULSADAS.
- DESARROLLO Y ADMINISTRACIÓN DE LOS RECURSOS HUMANOS EN SALUD REALIZADOS
- IMPACTO DE LA IMPLEMENTACIÓN DE LA POLÍTICA NACIONAL DE (...)",0- LA ADMINISTRACION GENERAL ES LA ENCARGADA DEL GERENCIAMIENTO DE LOS SERVICIOS OPERATIVOS QUE OFRECE EL M. S. P. Y B. S. ADMINISTRA LOS RECURSOS HUMANOS Y FINANCIEROS NECESARIOS PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES DESTINADAS A LA SUPERVISION DE LA AD (...),2013,179902350468,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,"1- - REDUCCIÓN DEL TIEMPO DE GESTIÓN Y TRAMITES ADMINISTRATIVOS.
- REDUCCIÓN DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN.
- SUMINISTRAR BIENES DE CONSUMO Y MUEBLES (...)",0- *,2013,179838740335,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,15-DIRECCION NACIONAL DE ADUANAS,"1- -RECURSOS FINANCIEROS PROVEIDOS 
-PROCESOS ADMINISTRATIVOS OPTIMIZADOS CON MIRAS A OBTENER CERTIFICACIÓN DE CALIDAD INTERNACIONAL.",0- *,2014,179710989521,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",67- *,2015,179660936948,,
27-ENTIDADES FINANCIERAS OFICIALES,03-CRÉDITO AGRÍCOLA DE HABILITACIÓN,1- EFICIENTE ASIGNACIÓN DE LOS RECURSOS ADMINISTRATIVOS DE LA INSTITUCIÓN.,0- *,2011,179592654920,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- - ESTRATEGIAS DE LA POLÍTICA DE SALUD APROBADAS Y REGLAMENTADAS.
- EJECUCIÓN DE LAS LÍNEAS DE ACCIÓN EN SALUD IMPULSADAS.
- DESARROLLO Y ADMINISTRACIÓN DE LOS RECURSOS HUMANOS EN SALUD REALIZADOS
- IMPACTO DE LA IMPLEMENTACIÓN DE LA POLÍTICA NACIONAL DE (...)",0- LA ADMINISTRACION GENERAL ES LA ENCARGADA DEL GERENCIAMIENTO DE LOS SERVICIOS OPERATIVOS QUE OFRECE EL M. S. P. Y B. S. ADMINISTRA LOS RECURSOS HUMANOS Y FINANCIEROS NECESARIOS PARA EL CUMPLIMIENTO DE LAS ACTIVIDADES DESTINADAS A LA SUPERVISION DE LA AD (...),2011,178688056578,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"1- RECAUDACIONES INCREMENTADAS EN EL AMBITO DE MEDIANOS, PEQUEÑOS Y GRANDES CONTRIBUYENTES 5%",1- *,2013,178641859822,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,5- ENTREGA OPORTUNA DE LOS RECURSOS FINANCIEROS,0- *,2011,177149500692,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"3- -ATENCIÓN MÉDICA BRINDADA A LA COMUNIDAD
-ACTIVIDADES DE EXTENSIÓN UNIVERSITARIA REALIZADAS
-CAMPO DE PRÁCTICAS HOSPITALARIAS PARA LAS ACTIVIDADES DOCENTES, ASISTENCIALES Y DE INVESTIGACIÓN PROVEÍDOS",1- *,2012,176554536774,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,2- *,2014,175511918085,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,11- -TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO DE ACEPAR Y CAJA BANCARIA PARA PAGO DE JUBILADOS,0- *,2011,175316740407,,
27-ENTIDADES FINANCIERAS OFICIALES,01-BANCO NACIONAL DE FOMENTO (BNF),"1- - TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS. 
- CALIDAD Y RAPIDEZ DE LA ATENCION AL CLIENTE.
- DESARROLLO DE PROGRAMAS TECNOLOGICOS.
-FUNCIONARIOS CAPACITADOS EN CURSOS Y SEMINARIOS.
",0- *,2012,175021055580,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,14- - PERSONAS CAPACITADAS,0- *,2013,174215361731,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,2- BENEFICIAR A FAMILIAS  CON TARIFA DIFERNCIADA-CUMPLIMIENTO DE DISPOSICIONES LEGALES PARA LA EFECTIVIZACIÓN DE LOS PAGOS-TIEMPO DE GESTIÓN DE LOS TRÁMITES ADMINISTRATIVOS PARA EL OTORGAMIENTO DE LAS INDEMNIZACIONES A VICTIMAS DE LA DICTADURA Y EX OBRERO  (...),1- *,2015,174035398194,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"14- PAV. ASF. S/ EMPEDRADOS, RECAPADO, Y PAV. PETREA DE VARIOS TRAMOS MEDIANTE LA UTILIZACION DE LOS FONDOS ESTRUCTURALES DEL MERCOSUR A OBJETO DE REDUCIR COSTOS DE TRANSPORTES Y MEJORAR LA COMPETITIVIDAD ESTIMULANDO LA PRODUCCION DE BIENES EXPORTABLES O D (...)",2015,173919033248,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"6- - REDUCCION DEL TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS.
- REDUCCION DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISION DE LA INFORMACION ESPERADAS.",0- *,2014,173099427926,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,8- APOYO OPORTUNO PARA LAS INVERSIONES.,0- *,2012,171719271447,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"6- - REDUCCION DEL TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS.
- REDUCCION DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISION DE LA INFORMACION ESPERADAS.",0- *,2013,171171809882,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,14- - PERSONAS CAPACITADAS,3- *,2014,169417469854,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"1- RECAUDACIONES INCREMENTADAS EN EL AMBITO DE MEDIANOS, PEQUEÑOS Y GRANDES CONTRIBUYENTES 5%",1- *,2014,169090451559,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,"1- - REDUCCIÓN DEL TIEMPO DE GESTIÓN Y TRAMITES ADMINISTRATIVOS.
- REDUCCIÓN DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MEJORA EN LA CALIDAD Y OPORTUNIDAD EN LA EMISIÓN DE LA INFORMACIÓN.
- SUMINISTRAR BIENES DE CONSUMO Y MUEBLES (...)",0- *,2012,169033167521,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"21- EL OBJETIVO DEL PROGRAMA ES REDUCIR LOS COSTOS DE TRANSPORTE EN LOS CORREDORES DE INTEGRACIÓN NACIONAL E INTERNACIONAL, A LA VEZ SE CONSERVA EL PATRIMONIO VIAL DEL PAÍS. EL PROGRAMA MEJORARÁ LAS CONDICIONES DE TRANSITABILIDAD Y LOS NIVELES DE ACCESIBIL (...)",2014,167026972176,,
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,"1- - REALIZACIÓN Y PRESENTACIÓN DEL ANTEPROYECTO DE PRESUPUESTO EN TIEMPO Y FORMA
- GESTIONES ADMINISTRATIVAS INTERNAS Y EXTERNAS REALIZADAS CON EFICIENCIA
- TRÁMITES ADMINISTRATIVOS SIMPLIFICADOS Y AGILIZADOS
- RECURSOS HUMANOS CAPACITADOS SEGÚN RECURSOS  (...)",0- *,2012,165579788695,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,8- APOYO OPORTUNO PARA LAS INVERSIONES.,0- *,2013,164492325426,,
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,"1- - REALIZACIÓN Y PRESENTACIÓN DEL ANTEPROYECTO DE PRESUPUESTO EN TIEMPO Y FORMA
- GESTIONES ADMINISTRATIVAS INTERNAS Y EXTERNAS REALIZADAS CON EFICIENCIA
- TRÁMITES ADMINISTRATIVOS SIMPLIFICADOS Y AGILIZADOS
- RECURSOS HUMANOS CAPACITADOS SEGÚN RECURSOS  (...)",0- *,2011,163964893205,,
