nivel,entidad,programa,subprgrama,monto,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,16-SERVICIO NACIONAL DE CALIDAD Y SALUD ANIMAL,1- SON LAS ACCIONES INSTITUCIONALES REALIZADAS EN EL MARCO DE LA CALIDAD Y SALUD ANIMAL CON EL OBJETO DE MANTENER Y MEJORAR EL STATUS SANITARIO ANIMAL NACIONAL. CONTRIBUIR CON LA CALIDAD E INOCUIDAD DE PRODUCTOS Y SUBPRODUCTOS DE ORIGEN ANIMAL VOLVIENDOLOS (...),"1- ANIMALES CERTIFICADOS, REGISTRADOS, EN TRANSITO SUJETOS A VIFLANCIA EPIDEMIOLOGICA DE ENFERMEDADES. CERFICIDAOS DE HABILITACION DE FIRMAS COMERCIALES, PRODUCTOS DE USO EN VETERINARIA, INSUMOS Y BALANCEADOS PARA ANIMALES. ASISTENCIA TECNICA SANITARIA A P (...)",89582376502,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,1- *,0- *,88889133569,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","21- ES UN PROGRAMA DEL MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL QUE TIENE A SU CARGO LA RECTORÍA DE TODOS LOS ASPECTOS RELACIONADOS A LA VACUNACIÓN E INMUNIZACIÓN DE LA POBLACIÓN PARAGUAYA, A FIN DE DISMINUIR LA CARGA DE ENFERMEDAD PROVOCADA POR ENFE (...)",87522978723,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,4- *,1- *,87520805577,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,3- *,0- *,86213222839,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,40- PROG. MEJ. CORR.,85240440784,,,
14-CONTRALORÍA GENERAL DE LA REPÚBLICA,01-CONTRALORÍA GENERAL DE LA REPÚBLICA,"1- CONSISTE EN MEJORAR LA GESTIÓN DE LOS RECURSOS, ADEMÁS DE LA PLANIFICACIÓN, ASISTENCIA, ASESORAMIENTO TÉCNICO, JURÍDICO Y DE CALIDAD A LAS UNIDADES ORGANIZACIONALES Y DE CONDUCCIÓN SUPERIOR DE LA CGR, PARA FORTALECER LA CAPACIDAD DE FORMACIÓN E INVESTIG (...)",0- 0,84021738811,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,03-INSTITUTO NACIONAL DE DESARROLLO RURAL Y DE LA TIERRA,1- FORTALECER EL SERVICIO DE MENSURA TITULACION,0- *,81209071988,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,05-CAJA DE JUBILACIONES Y PENSIONES DEL PERSONAL MUNICIPAL,1- *,0- *,78415538158,,,
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,"1- RECAUDACIONES INCREMENTADAS EN EL AMBITO DE MEDIANOS, PEQUEÑOS Y GRANDES CONTRIBUYENTES 5%
ASESORAR Y RECOMENDAR CURSOS DE ACCIÒN, QUE PERMITA EL MEJORAMIENTO ESTRUCTURAL DEL PAIS.
ESTUDIAR LOS EFECTOS DE LAS MEDIDAS DE POLITICAS ECONOMICAS SOBRE LA ECO (...)",3- SUBSECRETARIA DE ESTADO DE ADMINISTRACION FINANCIERA,78303726361,,,
25-EMPRESAS PÚBLICAS,04-ADMINISTRACIÓN NACIONAL DE NAVEGACIÓN Y PUERTOS,"1- -TIEMPO EMPLEADO EN LA GESTIÓN ADMINISTRATIVA A USUARIOS DE LOS SERVICIOS.
-DESTINO ADECUADO DE LOS RECURSOS FINACIEROS PARA CUMPLIR CON LAS ACTIVIDADES PREVISTAS EN EL PROGRAMA.",0- *,77629737516,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,2- *,13- *,77083520100,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,1- *,1- *,75163639743,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,1- ACTIVIDAD: ESTABLECER UNA POLITICA DE FORMACIÓN DE RECURSOS HUMANOS ESPECIALIZADOS. ORIENTAR LA GESTIÓN DE LA INSTITUCIÓN HACIA UN SISTEMA DE GESTIÓN FEXIBLE QUE PERMITA PROMOVER LA OFERTA DE CONOCIMIENTO Y SERVICIOS GENERADOS POR LA UNIVERSIDAD. MANTEN (...),0- *,74560910966,,,
25-EMPRESAS PÚBLICAS,06-PETRÓLEOS PARAGUAYOS,1- LITROS DE COMBUSTIBLE VENDIDOS,"2- EN EL ÁREA DE LA PRODUCCIÓN DE ALCOHOL A PARTIR DE CAÑA DE AZÚCAR, PETROPAR ADQUIERE UNA DIMENSIÓN SOCIAL IMPORTANTE, COMO GENERADORA Y DISTRIBUIDORA DE RIQUEZA EN EL SECTOR PRODUCTOR RURAL PARA EL COMBATE A LA POBREZA. LA PRODUCCIÓN DE ALCOHOL ES SUSTE (...)",73124367768,,,
12-PODER EJECUTIVO,11-MINISTERIO DE INDUSTRIA Y COMERCIO,"1- PROGRAMAS INTERNOS Y EXTERNOS COORDINADOS CON EL SECTOR PRIVADO.
RECURSOS HUMANOS Y FINANCIEROS ADMINISTRADOS EFICIENTEMENTE.
DICTÁMENES DE EVALUACIÓN DE PROYECTOS EFECTUADOS.
INFORMES FINANCIEROS Y CONTABLES EMITIDOS EN TIEMPO Y FORMA.
",0- *,72680035957,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,12- *,72372133783,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- - PORCENTAJE DE LAS PERSONAS QUE ACCEDEN A CONDICIONES DE SANEAMIENTO AMBIENTAL EN COMUNIDADES RURALES DE MENOS DE 10.000 HABITANTES Y EN COMUNIDADES INDÍGENAS POR DEPARTAMENTOS Y DISTRITOS.
- PORCENTAJE DE LAS PERSONAS QUE ACCEDEN AL AGUA POTABLE EN CO (...)","3- DESARROLLAR ACCIONES CONDUCENTES A VIGILAR, PREVENIR Y CONTROLAR ENFERMEDADES METAXÉNICAS TRANSMITIDAS POR VECTORES (PALUDISMO, DENGUE, FIEBRE AMARILLA, CHAGAS, LEISHMANIOSIS, ESQUISTOSOMIASIS) DE MANERA A IMPEDIR QUE LA POBLACIÓN ENFERME, Y SI TAL CASO (...)",71507050883,,,
22-GOBIERNOS DEPARTAMENTALES,11-GOBIERNO DEPARTAMENTAL DE CENTRAL,1- *,1- *,70832962498,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,4- *,70310003843,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -MEJORAR LA CALIDAD DE VIDA DE LA POBLACIÓN, INCREMENTANDO LA COBERTURA DE SERVICIOS DE AGUA POTABLE Y SANEAMIENTO EN COMUNIDADES INDÍGENAS DE EXTREMA POBREZA EN 14 DEPARTAMENTOS DISTRIBUIDOS EN 70 DISTRITOS.",2- MEJORAR LA SALUD DE LA POBLACION Y SUS CONDICIONES DE VIDA REDUCIENDO LA TASA DE MORBI-MORTALIDAD INFANTIL A TRAVES DEL ACCESO A LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO.,70072379306,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",33- *,68306414896,,,
25-EMPRESAS PÚBLICAS,05-DIRECCIÓN NACIONAL DE AERONAÚTICA CIVIL,"1- -CONTROLES INTERNOS IMPLEMENTADOS.
-TIEMPO EMPLEADO EN GESTIÓN Y TRÁMITES ADMINISTRATIVOS.","0- UNIDAD QUE SE ENCARGA DEL APOYO A LAS DEPENDENCIAS DE SERVICIOS. SU FUNCION ES BASICAMENTE ADMINISTRATIVA, NORMATIVA Y DE DIRECCION",66935865420,,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,1- *,8- *,65065733039,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,2- *,12- *,63996457320,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,1- M2,"1- CONSTRUCCION DE LOS PALACIOS DE JUSTICIA: VILLARRICA, CNEL.OVIEDO, CONCEPCION, PEDRO J. CABALLERO.",63781485281,,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,0- *,62989061093,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,1- FACULTAD DE DERECHO Y CIENCIAS SOCIALES,62963324082,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,03-INSTITUTO NACIONAL DE DESARROLLO RURAL Y DE LA TIERRA,1- GESTIÓN ADMINISTRATIVA EFICIENTE A FIN DE COADYUVAR AL CUMPLIMIENTO DE FINES INSTITUCIONALES,0- *,62247365165,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,8- *,61105076503,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,3- *,60361169649,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,18-SERVICIO NACIONAL DE CALIDAD Y SANIDAD VEGETAL Y DE SEMILLAS,"1- TENIENDO EN CUENTA QUE EL SENAVE SE ENCUENTRA EN PROCESO DE CRECIMIENTO INSTITUCIONAL SOBRE LA BASE DEL CONSTANTE AUMENTO DE LA DEMANDA DE SERVICIOS POR PARTE DE LOS USUARIOS , RELACIONADOS A LA PRODUCCION Y AL COMERCIO AGRICOLA, SE REQUIERE MEJORAR , P (...)",0- *,60195322474,,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,"2- -EFICAZ DISTRIBUCION DE LOS RECURSOS ADMINISTRATIVOS A LOS DISTINTOS CENTROS FINANCIEROS DE LA POLICIA NACIONAL.
- OPORTUNA Y EFICAZ GESTION ANTE EL MINISTERIO DE HACIENDA SOBRE LAS SOLICITUDES DE LA COMANDANCIA DE LA POLICIA NACIONAL",0- *,59452664597,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,24-DIRECCION NACIONAL DE CORREOS DEL PARAGUAY,1- *,0- *,59002938218,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,9- *,58101372808,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,6- *,3- *,57188536614,,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,1- *,5- *,55441609108,,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,9-  SERVICIOS EDUCATIVOS DE LOS CENTROS REGIONALES DE EDUCACION,53454542137,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",28- *,53052157128,,,
25-EMPRESAS PÚBLICAS,07-INDUSTRIA NACIONAL DEL CEMENTO,"1- LOS PRINCIPALES INDICADORES DEL PROGRAMA DE ADMINISTRACIÓN PARA EL AÑO 2012 SON:
- PROCEDIMIENTOS ADMINISTRATIVOS MEJORADOS.
- PROGRAMAS DE PROMOCIÓN Y ASISTENCIA TÉCNICA.
- POTENCIAR NUEVOS MERCADOS PARA EL USO DEL CEMENTO EN OBRAS NO TRADICIONALES.",0- *,53006073841,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","7- CONSISTE EN CONFORMAR NUEVOS CONSEJOS REGIONALES Y LOCALES DE SALUD, ADEMAS DE FORTALECER LOS YA EXISTENTES, MEDIANTE LA GESTION EFICIENTE DE LOS RECURSOS Y LA PARTICIPACIÓN CIUDADANA.",52645984525,,,
24-ENTIDADES PÚBLICAS DE SEGURIDAD SOCIAL,03-CAJA DE JUBILACIONES Y PENSIONES DEL PERSONAL DE LA ANDE,"1- - TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS.
- ACTUALIZACION PERMANENTE DEL MANUAL DE PROCEDIMIENTOS ADMINISTRATIVOS.
- CALIDAD Y OPORTUNIDAD EN LA EMISION DE LA INFORMACION.",0- *,52032348732,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",30- *,51599635951,,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"10- - INTEGRIDAD TERRITORIAL Y DEFENSA DE AUTORIDADES LEGITIMAMENTE CONSTITUIDAS, ASEGURADAS.
",7- UNIDAD ESPECIALIZADA EN TRABAJOS DE INGENIERÍA,51183299631,,,
25-EMPRESAS PÚBLICAS,05-DIRECCIÓN NACIONAL DE AERONAÚTICA CIVIL,"1- - PERS. TECN. DE DIVERS. AEREAS DE LA DINAC. CAPAC. Y ACTUALIZADOS.
- VUELOS Y SOBREVUELOS SEG. Y EFIC. CON EQUIPOS RECUP.Y RENOV. CON RECURSOS HUMANOS CAPACITADOS.
- PRESTAR LOS SERV. REQUER. PARA SATISF. LAS NECES. DE LAS DISTINTAS ACTIV. DEPEND. DE L (...)",2- *,49655437298,,,
27-ENTIDADES FINANCIERAS OFICIALES,04-FONDO GANADERO,1- ASISTENCIA TÉCNICA Y FINANCIERA AL SECTOR PECUARIO NACIONAL.,0- *,49421986049,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",32- *,49372538712,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,2- *,"21- EL OBJETIVO DEL PROGRAMA ES REDUCIR LOS COSTOS DE TRANSPORTE EN LOS CORREDORES DE INTEGRACIÓN NACIONAL E INTERNACIONAL, A LA VEZ SE CONSERVA EL PATRIMONIO VIAL DEL PAÍS. EL PROGRAMA MEJORARÁ LAS CONDICIONES DE TRANSITABILIDAD Y LOS NIVELES DE ACCESIBIL (...)",49365562438,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",25- *,49249852288,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -MEJORAR LA CALIDAD DE VIDA DE LA POBLACIÓN, INCREMENTANDO LA COBERTURA DE SERVICIOS DE AGUA POTABLE Y SANEAMIENTO EN COMUNIDADES INDÍGENAS DE EXTREMA POBREZA EN 14 DEPARTAMENTOS DISTRIBUIDOS EN 70 DISTRITOS.","1- EXPANDIR LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO EN PEQUEÑAS COMUNIDADES URBANAS, RURALES E INDIGENAS.",49112176590,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,2- *,"11- *REGIR LAS POLITICAS COMUNICACIONALES DEL ESTADO A TRAVES DE LOS MEDIOS QUE LA COMPONEN, APORTANDO CALIDAD Y CANTIDAD DE INFORMACIÓN SUFICIENTE, CON EL OBJETO DE QUE TODAS LAS ACTIVIADES REALIZADAS POR EL SUPERIOR GOBIERNO NACIONAL SEAN CONOCIDAS",48987705774,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,1- *,2- *,48700851657,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,2- *,1- *,48436394259,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",26- *,48216235250,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,6- *,7- *,48210496732,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,23-SECRETARIA NACIONAL DE LA VIVIENDA Y EL HABITAT,1- *,1- *,47554006847,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,22-INSTITUTO PARAGUAYO DE TECNOLOGIA  AGRARIA,1- *,0- *,47248068735,,,
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,"9- ADOPTAR LAS MEDIDAS NECESARIAS A NIVEL NACIONAL COMO TAMBIÉN PLANTEAR LA DEFENSA Y PROMOCIÓN DE LA POLÍTICA NACIONAL EN EL PLANO INTERNACIONAL, PARA LA REGULACIÓN DE LAS AGUAS EN TODO EL CURSO DEL RÍO PILCOMAYO Y PARA LA UTILIZACIÓN RACIONAL Y COMPARTID (...)",47051422039,,,
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,1- *,8- *,46615097494,,,
22-GOBIERNOS DEPARTAMENTALES,10-GOBIERNO DEPARTAMENTAL DE ALTO PARANÁ,1- *,3- *,46322363248,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",34- *,45959733837,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",66- *,45887326901,,,
22-GOBIERNOS DEPARTAMENTALES,07-GOBIERNO DEPARTAMENTAL DE ITAPUA,7- *,"3- ELABORAR PLANES, PROGRAMAS Y PROYECTOS COORDINADOS PARA LA IMPLEMENTACION DE POLITICAS EDUCATIVAS Y CULTURALES EN TODOS LOS NIVELES EJECUTADAS CON EFICACIA, EFICIENCIA, EQUIDAD Y PERSPECTIVA DE GENERO, CON ENTIDADES DEPARTAMENTALES, NACIONALES, INTERNAC (...)",45302958473,,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,"1- -IMPLEMENTACIÓN DE PLANES RELATIVOS A LA SEGURIDAD.
",0- *,45006092955,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,2- *,9- *,44748902561,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,3- *,1- *,44657769449,,,
12-PODER EJECUTIVO,09-MINISTERIO DE JUSTICIA Y TRABAJO,"1- -REDUCCIÓN DEL TIEMPO DE GESTIÓN Y TRÁMITES ADMINISTRATIVOS ESPERADOS.
-REDUCCIÓN DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAÍDAS.
-MEJORA EN LA CALIDAD DE DECISIONES A NIVEL GERENCIAL IMPARTIDAS.
-MAYOR CREDIBILIDAD Y CONFIANZA DE LO (...)",0- *,44081811020,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,19-DIRECCIÓN NACIONAL DE CONTRATACIONES PÚBLICAS,1- *,0- *,44022036029,,,
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,16-SERVICIO NACIONAL DE CALIDAD Y SALUD ANIMAL,"1- REPRESENTACIÓN OFICIAL DE LA INSTITUCIÓN Y DEL SECTOR PECUARIO EJERCIDA POR EL PRESIDENTE EN EVENTOS NACIONALES E INTERNACIONALES,  COORDINA Y GERENCIA LAS ACCIONES INSTITUCIONALES A OBJETO DE CUMPLIR CON SU MISIÓN
LA DIGEAF ES LA ENCARGAD DE LA ADMINIS (...)",0- *,43808486613,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",64- *,43482255668,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",41- *,42139476676,,,
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,4- *,"1- GRAN COMANDO CUYA FUNCION ES COORDINAR LAS ACCIONES DE LOS MANDOS SUPERIORES DEL EJERCITO, ARMADA, Y DE LA FUERZA AEREA, PARA ASEGURAR EL FIEL CUMPLIMIENTO DE LA MISION CONSTITUCIONAL ASIGNADA A LAS FUERZAS MILITARES. COLABORA ADEMAS CON EL COMANDO EN J (...)",41595062068,,,
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,"2- PARA EL 2015 SE PREVE: 21466 APOYOS TACTICOS A COMISARIAS, ATENCION DE 17809 HECHOS PUNIBLES MAS RESALTANTES, 232200 ATENCION DE LLAMADAS DE EMERGENCIA, 6090 SERVICIOS DE PREVENCION E INVESTIGACION DE SECUESTROS Y ENTREGA DE 600 EQUIPAMIENTOS",0- *,41588371497,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,3- *,2- *,41548175098,,,
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,2- *,10- *,41197807230,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,2- *,3- *,40950144951,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",42- *,40554246414,,,
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,1- *,3- EDUCACION SUPERIOR,40320720534,,,
12-PODER EJECUTIVO,"16-MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL",1- *,0- *,39971110888,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",52- *,39736810798,,,
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",27- *,39690354931,,,
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,1- *,"1- LA DEAG, ES UNA INSTITUCION QUE EJECUTAN PROGRAMAS DE ASISTENCIA TECNICA, EDUCATIVA Y ORGANIZATIVA CON LAS FAMILIAS RURALES. CUENTA CON TECNICOS ESPECIALISTAS EN DIFERENTES AREAS PRODUCTIVAS, ECONOMICA Y SOCIAL,  APOYADOS POR EL SECTOR ADMINISTRATIVO PA (...)",39174491191,,,
