nivel,entidad,programa,subprograma,monto
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,22- *,0- *,479988772776
12-PODER EJECUTIVO,09-MINISTERIO DE JUSTICIA Y TRABAJO,4- ASISTIR ADMINISTRATIVAMENTE A 14 PENITENCIARIAS DEL PAIS,16- *,479448000000
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","8- LA VIIIA.REGION SANITARIA DE MISIONES FUE CREADA SEGUN EL DECRETO Nº4.267 DE FECHA 17/06/1994,POR EL CUAL SE ESTABLECE EL LIMITE GEOGRAFICO Y DE COBERTURA POBLACIONAL DE LAS REGIONES SANITARIAS EN DIRECTA RELACION CON LA DIVISION POLITICA DEPARTAMENTAL  (...)",475288352532
11-PODER LEGISLATIVO,01-CONGRESO NACIONAL,"2- -ESTUDIOS Y PROYECTOS ELABORADOS. 
-POLITICAS LEGISLATIVAS DE INTEGRACIÓN IMPLEMENTADAS.
-REUNIONES REALIZADAS CON OTROS PAISES.",0- *,472950719220
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,12- FORMACION DE PROFESIONALES ARQUITECTOS,"2- FORMACION DE  4.000 ALUMNOS Y PROFESIONALES ESPECIALIZADOS EN EL AREA DE ARQUITECTURA, DISEÑO INDUSTRIAL, LICENCIATURA EN MUSICA Y LICENCIATURA EN DANZA.",464392207740
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,3- *,0- *,462963255540
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,18-SERVICIO NACIONAL DE CALIDAD Y SANIDAD VEGETAL Y DE SEMILLAS,"1- CONSIDERANDO QUE EL PAIS SE ENCUENTRA EN PROCESO DE FORTALECIMIENTO DE LA ECONOMIA NACIONAL, Y ESTA A SU VES SE FUNDAMENTA EN LA PRODUCCION A GRICOLA QUE LLEVA CONSIGO EL AUMENTO DE LA DEMANDA DE SERVICIO BRINDADO POR EL SENAVE, POR LO QUE SE REQUIERE P (...)",1- *,462329006448
25-EMPRESAS PÚBLICAS,05-DIRECCIÓN NACIONAL DE AERONAÚTICA CIVIL,"1- - PERS. TECN. DE DIVERS. AEREAS DE LA DINAC. CAPAC. Y ACTUALIZADOS.
- VUELOS Y SOBREVUELOS SEG. Y EFIC. CON EQUIPOS RECUP.Y RENOV. CON RECURSOS HUMANOS CAPACITADOS.
- PRESTAR LOS SERV. REQUER. PARA SATISF. LAS NECES. DE LAS DISTINTAS ACTIV. DEPEND. DE L (...)",2- *,457151896164
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"4- -REGLAMENTACION ACADEMICA REVISADA Y APROBADA.
-SISTEMA DE MEJORAMIENTO CONTINUO DE CATEDRAS A TRAVES DE LA EVALUACION DEL DESEMPEÑO DOCENTE, IMPLEMENTADO.
-CAPACITACION PORFESIONAL EN DIDACTIVA Y EVALUACION, REALIZADOS.
-UNIDAD DE COORDINACION DE CAPAC (...)",0- *,453098241384
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","14- LA XIV R.S. CANINDEYU FUE CREADA SEGÙN DECRETO Nº 4267 DEL 17 DE JUNIO DE 1994 A EFECTOS DE ADECUAR LA CONSOLIDACION DEL PROCESO DE TRANSFERENCIAS DE LA TOMA DE DECISIONES, LA ESTRUCTURA DE LA DIVISION POLITICA DEL PAIS, FACILITAR EL ANALISIS DE LA SIT (...)",449455919172
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"7- - REDUCCION DEL TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS.
- REDUCCION DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAIDAS.
- MAYOR CREDIBILIDAD Y CONFIANZA DE LOS PROVEEDORES EN LOS PROCESOS DE ADQUISICIONES REALIZADAS.
- ME (...)",0- *,448444181880
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"5- -FORMAR PROFESIONALES EN CONTADURIA PUBLICA, ECONOMIA Y ADMINISTRACION. 
-REALIZAR TRABAJOS DE INVESTIGACION EN EL AREA DE LAS CIENCIAS ECONOMICAS. 
-PRESTAR SERVICIOS DE ASISTENCIA TECNICA Y CAPACITACION PROFESIONAL. -REALIZAR DE CURSOS DE POSGRADO EN  (...)",10- *,442896390396
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,"2- -EFICAZ DISTRIBUCION DE LOS RECURSOS ADMINISTRATIVOS A LOS DISTINTOS CENTROS FINANCIEROS DE LA POLICIA NACIONAL.
- OPORTUNA Y EFICAZ GESTION ANTE EL MINISTERIO DE HACIENDA SOBRE LAS SOLICITUDES DE LA COMANDANCIA DE LA POLICIA NACIONAL",0- *,440536419984
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,9- CASOS,0- *,437987623896
11-PODER LEGISLATIVO,01-CONGRESO NACIONAL,2- *,1- CONSTRUCCION DE AVENIDA COSTANERA CON OBRAS ADICIONALES COMO SER EL PARQUE BICENTENARIO Y ESTACIONAMIENTO,437700000000
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,3- *,"2- ACCIONES DE ATENCIÓN INTEGRAL BASADAS EN LA PREVENCIÓN, PROMOCIÓN Y RECUPERACIÓN DE LA SALUD, MEDIANTE LA ATENCIÓN ESPECIALIZADA Y DE URGENCIA BRINDADAS A PERSONAS CON ENFERMEDADES INFECTO CONTAGIOSAS TROPICALES E INMUDEFICIENCIA, PARA LA PRONTA RECUPER (...)",434956148484
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.","8- 1)	UNA MEJOR CALIDAD DE VIDA PARA EL NIÑO Y LA MADRE.
2)	AUMENTAR LA CALIDAD DE ATENCIÓN EN LA MUJER EN EDAD FÉRTIL, EL PARTO INSTITUCIONAL, EL CUIDADO DEL PUERPERIO Y LA PREVENCIÓN DEL CÁNCER CERVICO-UTERINO; E
3)	INCENTIVAR, DINAMIZAR Y SEGUIR AUMENTA (...)",433876011636
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,7- *,"1- FORTALECER LA EDUCACION TECNICA AGRARIA, LA SEGURIDAD ALIMENTARIA, REDUCIR LA POBREZA Y ORGANIZAR A LA FAMILIA CAMPESINA.  FORTALECER EL MANEJ OY RECUPERACION DE LOS RECURSOS NATURALES.	",432879605172
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,4- *,0- 0,431395315068
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,3- *,"8- FINANCIA LA ADQUISICION DE EQUIPOS Y MATERIALES DE USO MILITAR, PARA SU POSTERIOR DISTRIBUCION A UNIDADES ESTRATEGICAS Y TACTICAS DE LAS FUERZAS ARMADAS, LAS QUE SON CONSIDERADAS PRIMORDIALES EN EL CUMPLIMIENTO DE LOS OBJETIVOS Y METAS ESTABLECIDOS POR  (...)",431240497476
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,21- *,2- REGISTRO DEL AUTOMOTOR,431111710584
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,16- *,"3- ES LA DEPENDENCIA QUE SE ENCARGA DEL CONTROL DE TODOS LOS EXPLOSIVOS QUE SE IMPORTAN, SU UTILIZACION EFECTIVA Y LAS CONDICIONES DE TRANSPORTE Y ALMACENAJE DE LOS MISMOS EN EL TERRITORIO NACIONAL.
IGUALMENTE SE PRETENDE LA REACTIVACION TOTAL DE LA PLANTA (...)",422212474788
11-PODER LEGISLATIVO,01-CONGRESO NACIONAL,"11- COMO INDICADOR CUALITATIVO CONSTITUYE, LA DIFUSIÓN DE NUESTRA CULTURA, A TRAVÉS DE LAS DIFERENTES EXPOSICIONES, CONCURSOS LITERARIOS, FOTOGRAFICOS, ASÍ COMO EL VALORAR A LOS ARTISTAS NACIONALES Y RENDIR EL DEBIDO HOMENAJE MERECIDO, DANDO A CONOCER SUS  (...)",0- *,421504709604
22-GOBIERNOS DEPARTAMENTALES,10-GOBIERNO DEPARTAMENTAL DE ALTO PARANÁ,1- *,4- *,419155226064
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,20-INSTITUTO FORESTAL NACIONAL,"1- CONSISTE EN ADMINISTRAR EFICIENTEMENTE LOS RECURSOS CON QUE CUENTA LA INSTITUCIÓN CONFORME A LAS DISPOSICIONES LEGALES VIGENTES, A LOS EFECTOS DE AFIANZAR EL CUMPLIMIENTO DE LOS OBJETIVOS INSTITUCIONALES",0- *,417155191476
12-PODER EJECUTIVO,03-MINISTERIO DEL INTERIOR,"3- REESTRUCTURAR, REORIENTAR Y REDEFINIR EL MARCO LEGAL DE LA POLITICA MIGRATORIA NACIONAL Y PROFESIONALIZAR A LOS RECURSOS HUMANOS DE LA DIRECCIÓN GENERAL DE MIGRACIONES.
CONTRIBUIR A LA SEGURIDAD Y AL DESARROLLO NACIONAL, PROMOVIENDO LA CORRIENTE POBLACI (...)",0- *,416364793200
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,6- *,"1- LA DEAG, ES UNA INSTITUCION QUE EJECUTA PROGRAMAS DE ASISTENCIA TECNICA, EDUCATIVA Y ORGANIZATIVA CON LAS FAMILIAS RURALES. CUENTA CON TECNICOS ESPECIALISTAS EN DIFERENTES AREAS PRODUCTIVAS, ECONOMICA Y SOCIAL,  APOYADOS POR EL SECTOR ADMINISTRATIVO PAR (...)",415726638036
14-CONTRALORÍA GENERAL DE LA REPÚBLICA,01-CONTRALORÍA GENERAL DE LA REPÚBLICA,1- CONSISTE EN REALIZAR ACTIVIDADES DE CONTROL A TODOS LOS ORGANISMOS Y ENTIDADES DEL ESTADO.,0- *,412615049580
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,"10- - CIRCULACIÓN VIAL VIGILADO.
- DOTACIÓN DE SEGURIDAD Y VIGILANCIA EN SERVICIOS ESPECIALES,   LOGRADOS.
- BASE DE DATOS DE CONSULTA, CONTROL Y REGISTRO DE ESTADÍSTICAS Y   OTRAS APLICACIONES LOGRADOS.
- FALTAS Y CONTRAVENCIONES COMETIDAS AL REGLAMENTO G (...)",0- *,409891924776
12-PODER EJECUTIVO,10-MINISTERIO DE AGRICULTURA Y GANADERÍA,8- *,0- *,407444244528
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.","20- LOGRAR LA ATENCIÓN INTEGRAL A LA MAYOR PARTE DE LA POBALCIÓN, DE TAL FORMA A DISMINUIR LA MORTALIDAD Y MORBILIDAD, PARA MEJORAR LA CALIDAD DE VIDA DE LA POBLACIÓN DEL ÁREA AFECTADA.",405854009244
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,5- SNPPI INSTALADO Y FORTALECIDO. FORTALECIMIENTO DEL CAPITAL SOCIAL.,3- *,402835841652
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,04-DIRECCIÓN DE BENEFICENCIA Y AYUDA SOCIAL,"1- CONSISTE EN UN SERVICIO DE ATENCION INDIVIDUALIZADA REALIZADA POR EL DEPARTAMENTO DE SERVICIO SOCIAL INDIVIDUAL PARA LA PROVISION DE INSUMOS COMO MARCAPASOS, MATERIALES TRAUMATOLOGICOS, MEDICAMENTOS ONCOLOGICOS, VALVULAS, ETC, Y/O AYUDA ECONOMICA. TRANS (...)",0- *,400796425920
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","6- RESOLUCION S.G. NO.  367 DE FECHA 23 DE JUNIO DE 1.992, POR LA CUAL SE CREA LA SEXTA REGION SANITARIA DE CAAZAPA COMO PARTE INTEGRANTE DEL SISTEMA DE SERVICIOS DE SALUD DEL MINISTERIO DE SALUD PUBLICA Y BIENESTAR SOCIAL. 
Y EL DECRETO NO. 4.267 DE FECHA (...)",400461830628
27-ENTIDADES FINANCIERAS OFICIALES,03-CRÉDITO AGRÍCOLA DE HABILITACIÓN,"4- -REDUCCIÓN DEL TIEMPO DE PROCESAMIENTO DE PAGO DE LAS OBLIGACIONES CONTRAÍDAS.
-MAYOR CREDIBILIDAD Y CONFIANZA DE LOS PROVEEDORES EN LOS PROCESOS DE ADQUISICIONES REALIZADAS.
",0- *,382168225020
12-PODER EJECUTIVO,09-MINISTERIO DE JUSTICIA Y TRABAJO,7- 711 CURSOS,0- *,378828588000
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,3- *,"10- ASISTENCIA HOSPITALARIA: AMBULATORIO, INTERNACIONES, CONSULTAS PARA PACIENTES ADULTOS, CONSULTORIO DE NEUROLOGIA, ELECTROENCEFALOGRAFIA, ODONTOLOGIA, GINECOLOGIA, CLINICA MEDICA, SERVICIO DE LABORATORIO, SERVICIO DE ELECTRO CONVULSIVO TERAPIA,E.E.C., A (...)",377262421320
12-PODER EJECUTIVO,07-MINISTERIO DE EDUCACIÓN Y CULTURA,12- -DOCENTES FORMADOS,"1- GESTION TECNICO PEDAGOGICA:
-ASISTIR EN EL ASPECTO TECNICO PEDAGOGICO DE LOS CURSOS DE PROFESIONALIZACION PARA LA EEB, 1°, 2° Y 3° CICLOS Y 4° AÑO. -ASESORAR A LOS DIRECTIVOS Y FORMADORES DE LOS INSTITUTOS DE FORMACION DOCENTE (IFD).
-IMPLEMENTAR EL PRO (...)",372946423488
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,4- *,0- *,372897307356
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.",23- *,370538428308
13-PODER JUDICIAL,03-MINISTERIO PÚBLICO,"11- CENTRO DE INVESTIGACION JUDICIAL
APLICACION INTEGRAL DE LOS ARTS. 63, 10 Y CONCORDANTES DE LA LEY 1562/00 ""LEY ORGANICA DEL MINISTERIO PUBLICO",,
"APOYO EN EL CUMPLIMIENTO DEL ART. 73 DE LA LEY ORGANICA 1562/00""",0- *,369507415332,,
28-UNIVERSIDADES NACIONALES,02-UNIVERSIDAD NACIONAL DEL ESTE,"1- -INFORMACION OPORTUNA Y CONFIABLE.
-NUMERO DE TRAMITES Y GESTION ADMINISTRATIVA REALIZADA.
-CREDIBILIDAD Y CONFIANZA DE LOS PROVEEDORES.
-INFORMACIONES OPORTUNA Y DE CALIDAD.",0- *,363483854460
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.","3- LOGRAR LA SATISFACCIÓN DE LOS USUARIOS, DANDO RESPUESTA ADECUADA, OPORTUNA, CON CALIDAD Y CALIDEZ A SUS NECESIDADES DE SALUD CON, MEDIANTE LA REALIZACIÓN DE ACCIONES DE PROMOCIÓN, PREVENCIÓN, RECUPERACIÓN Y REHABILITACIÓN",362959261584
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)","12- * DECRETO NRO.: 15.515 DE FECHA 13-11-1992 ""DONDE ESTABLECE LOS LIMITES GEOGRAFICOS Y DE COBERTURA POBLACIONAL DE LAS REGIONES SANITARIAS, EN RELACION CON LA ORGANIZACION DPTAL. DEL PAIS, SEGUN ART. 2 Y 3",
"* EN EL DEPARTAMENTO DE ÑEEMBUCU, LA MAYOR PAR (...)""",362454417540,,,
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,7- *,0- *,353416220064
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,14- *,2- *,352479587604
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,3- *,"9- ACCIONES DE PREVENCIÓN, PROMOCIÓN, RECUPERACIÓN Y REHABILITACIÓN, QUE BUSCAN LOGRAR LA SALUD CON CALIDAD Y CALIDEZ, CON MÁXIMA COBERTURA Y EQUIDAD A TODOS LOS USUARIOS DE LOS DIFERENTES SERVICIOS, PARA DISMINUIR LA MORBIMORTALIDAD Y MEJORAR LA CALIDAD D (...)",352016422080
22-GOBIERNOS DEPARTAMENTALES,07-GOBIERNO DEPARTAMENTAL DE ITAPUA,7- *,"3- LA SECRETARIA DE EDUCACION DE LA GOBERNACION DE ITAPUA ESTA COMPROMETIDA EN REALIZAR LOS MAYORES ESFUERZOS PARA COMPAÑAR  LA GESTION DE MEJORAMIENTO Y CONSOLIDACION DEL PROCESO EDUCACIONAL.
SU FILOSOFIA SE SUSTENTA EN EL DESARROLLO DE LAS COMUNIDADES ED (...)",350281585332
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,11- *,0- *,350268975840
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.","7- BRINDAR ATENCIÓN MATERNO INFANTIL DE PREFERENCIA TENIENDO EN CUENTA LA POBLACIÓN RESPECTIVA, ASÍ COMO TAMBIÉN ATENCIÓN DE OTRAS PATOLOGÍAS DISMINUYENDO LA MORBIMORTALIDAD MATERNO INFANTIL.",346631519388
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,"2- MEDIDAS DE SEGURIDAD APLICADAS Y REALIZADAS.
COORDINACIÓN PERMANENTE CON OTRAS ORGANIZACIONES DE SEGURIDAD REALIZADA.",0- *,343903732140
12-PODER EJECUTIVO,05-MINISTERIO DE DEFENSA NACIONAL,"1- -RECURSOS HUMANOS CAPACITADOS.
-REDUCCION DEL TIEMPO DE GESTION Y TRAMITES ADMINISTRATIVOS ESPERADOS.",0- *,337764781320
12-PODER EJECUTIVO,09-MINISTERIO DE JUSTICIA Y TRABAJO,"9- INFRAESTRUCTURA PENITENCIARIA, MEJORADA",0- *,336000000000
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.","11- ATENCIÓN INTEGRAL A LA SALUD DE LA POBLACIÓN DEL DISTRITO DE ÑEMBY POR MEDIO DE ACTIVIDADES DE PREVENCIÓN, PROMOCIÓN, URGENCIA, RECUPERACIÓN DE LA SALUD, PARA EL MEJORAMIENTO DE SU NIVEL DE VIDA.",331294239768
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",13- LA XIII REGION SANITARIA AMAMBAY FUE CREADA POR DECRETO N° 4267 DE 17 DE JUNIO DE 1994,328487446320
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"2- - DOTACION DE INSUMOS Y EQUIPAMIENTOS ADECUADOS, EN TIEMPO Y FORMA.
- FUNCIONARIOS CAPACITADOS.
- TIEMPO DE TRAMITES ADMINISTRATIVOS Y ACADEMICOS.
- PORCENTAJE DE EJECUCION PRESUPUESTARIA.
- PORCENTAJE DE EJECUCION DE INGRESOS.",0- ADMINISTRACION GENERAL DE LA FACULTAD DE DERECHO,316629481752
12-PODER EJECUTIVO,06-MINISTERIO DE HACIENDA,7- *,0- *,314832200496
25-EMPRESAS PÚBLICAS,04-ADMINISTRACIÓN NACIONAL DE NAVEGACIÓN Y PUERTOS,1- CUANTITATIVO,0- *,312404372604
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,1- *,1- *,311242523940
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"1- -PROMOVER LA PARTICIPACIÓN CIUDADANA EN EL ACCIONAR DEL SISTEMA NACIONAL DE SALUD MEDIANTE PROCESOS DE INFORMACIÓN, EDUCACIÓN Y COMUNICACIÓN, QUE FOMENTEN LA PROMOCIÓN DE LA SALUD Y LA PREVENCIÓN DE ENFERMEDADES, EN EL ÁMBITO COLECTIVO, FAMILIAR E INDIV (...)",15- CREADO POR RES. 368 DEL 23/06/92. LUEGO REESTRUCTURADO POR RESOLUCION 49 DEL FECHA 7/09/93. LA XV REGION SANITARIA - PDTE. HAYES TIENE UNA POBLACION ASIGNADA DE 88792 HABITANTES DISTRIBUIDOS EN UNA EXTENSION DE 72907 KM2.,307863705852
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.","5- OFRECER EDUCACIÓN EN SALUD, ESPECIALMENTE EN BARRIOS CONSIDERADOS DE RIESGO, INCENTIVAR A LA COMUNIDAD A TOMAR RESPONSABILIDADES EN LA SOLUCIÓN DE LOS PROBLEMAS PRIORITARIOS SANITARIOS, MONITOREO EN BARRIOS EN FORMA PERIÓDICA PARA DETECTAR EN FORMA PREC (...)",307175029872
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,"2- -MEJORAR LAS CONDICIONES DE SALUD DE LA POBLACIÓN ASIGNADA A NIVEL NACIONAL, MEDIANTE ACCIONES DE PROMOCIÓN, PREVENCIÓN, CONSULTAS E INTERNACIONES.","4- ATENCIÓN INTEGRAL DE LA POBLACIÓN A TRAVES DE  ACCIONES DE  PROMOCIÓN, PREVENCIÓN Y REHABILITACIÓN, URGENCIAS Y EMERGENCIAS, QUE BUSCA LOGRAR LA SALUD INTEGRAL CON CALIDAD Y CALIDEZ, CON MÁXIMA COBERTURA Y EQUIDAD A TODOS LOS USUARIOS DE LOS DIFERENTES  (...)",306465822852
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,8- FAMILIAS POBRES Y DE EXTREMA POBREZA ASISTIDAS.,"0- SERVICIOS SOCIALES PARA LA ATENCION DE LA INFANCIA, JUVENTUD Y MUJER, SISTEMA NACIONAL DE ENTIDADES DE BIEN SOCIAL Y SERVICIO SOCIAL PARA ADULTOS MAYORES.",306338575932
12-PODER EJECUTIVO,09-MINISTERIO DE JUSTICIA Y TRABAJO,"2- - INSCRIPCIÒN Y EXPEDICIÓN DE CERTIFICADOS DE HECHOS VITALES (NACIMIENTOS, MATRIMONIOS, DEFUNCIONES)

",1- *,305579712108
12-PODER EJECUTIVO,08-MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL,3- *,"4- BRINDAR ASISTENCIA INTEGRAL AL PACIENTE QUEMADO, EN SU FASE AGUDA, CRÓNICA Y DE REHABILITACIÓN, PARA REINTEGRARLO NUEVAMENTE A LA SOCIEDAD, CON TODAS SUS FUNCIONES FÍSICAS Y PSÍQUICAS RESTABLECIDAS.
PROMOVER CAMPAÑAS DE PREVENCIÓN DE QUEMADURAS, CONJUNT (...)",305256246192
13-PODER JUDICIAL,05-JURADO DE ENJUICIAMIENTO DE MAGISTRADOS,1- *,0- *,301703869344
12-PODER EJECUTIVO,13-MINISTERIO DE OBRAS PÚBLICAS Y COMUNICACIONES,1- *,24- *,300158779008
28-UNIVERSIDADES NACIONALES,01-UNIVERSIDAD NACIONAL DE ASUNCIÓN,"8- - 1 FORMACIÓN DE PROF. EN CIENICAS DE LAS HUMANIDADES - CASA CENTRAL 2.181.ALUMNOS G. 7.143.059.766.
- 1 FORMACIÓN DE PROFESIONALES EN LENGUAS 153 ALUMNOS G. 187.846.419.
- 1 FORMACIÓN DE PROFESIONALES EN TRABAJOS SOCIAL 173 ALUMNOS G. 183.294.854.
- 1  (...)",0- *,295042727784
13-PODER JUDICIAL,01-CORTE SUPREMA DE JUSTICIA,6- *,0- *,294111388152
12-PODER EJECUTIVO,01-PRESIDENCIA DE LA REPÚBLICA,4- LA COORDINACIÓN INTERINSTITUCIONAL ADMINISTRATIVA Y FINANCIERA A LOS PROGRAMAS Y PROYECTOS EJECUTADOS POR LA SAS.,6- *,294050682996
23-ENTES AUTÓNOMOS Y AUTÁRQUICOS,14-INSTITUTO NACIONAL DE COOPERATIVISMO,"1- -GESTIÓN Y TRÁMITES ADMINISTRATIVOS REALIZADOS
-BIENES DE CAPITAL ADQUIRIDOS
-RECURSOS FINANCIEROS APLICADOS 
-NORMAS Y DISPOSICIONES LEGALES VIGENTES DIFUNDIDAS",0- *,284013947496
